Datos para la caída de tensión en una barra de cobre en función de la intensidad
La primera fila es la intensidad en amperios
Las columnas son la caída de potencial en micro-voltios
Los valores del voltaje son surrogados
Intensidad (A)
0.2	0.4	0.6	0.8	1	1.2	1.4	1.6	1.8	2
d.d.p. (micro-V)
2.43	4.63	6.26	7.50	10.40	13.45	15.77	16.58	19.93	23.32
0.31	4.82	6.65	8.02	9.62	12.72	15.90	18.46	18.48	20.76
1.96	6.25	5.05	8.31	10.78	14.76	16.35	16.46	21.35	20.79
3.03	4.25	7.43	9.64	12.49	12.85	16.14	19.85	20.90	23.15
1.22	6.31	6.74	10.55	13.32	12.03	14.47	19.40	20.23	23.62
2.86	5.72	8.34	8.07	10.84	15.58	15.44	18.32	21.48	22.37
1.68	3.27	7.89	7.91	12.27	11.87	15.84	18.48	18.80	22.02
3.75	4.72	4.91	8.16	10.14	12.27	14.76	20.07	21.58	23.14
1.01	2.83	8.66	8.03	12.18	13.84	14.27	18.82	21.75	21.97
2.21	4.02	6.32	8.73	11.07	13.09	17.06	16.25	20.20	23.65
3.64	4.02	6.60	10.91	12.86	12.93	15.63	18.71	19.95	22.08
1.26	6.51	5.74	10.17	11.28	13.94	16.26	18.83	20.11	21.15
3.55	3.09	7.06	9.50	11.70	15.51	17.31	17.37	21.51	24.22
0.69	2.97	6.69	10.03	9.37	13.52	17.36	17.85	20.52	23.95
2.36	5.60	5.00	10.89	10.18	13.47	16.97	17.55	18.94	20.82
1.46	5.28	7.34	9.03	10.27	12.78	17.34	18.43	18.42	21.27
1.07	2.93	5.05	8.10	10.92	12.41	15.41	20.03	18.49	24.63
2.85	4.29	7.98	8.89	13.16	13.97	17.76	19.43	21.10	21.18
2.97	4.71	4.98	7.29	9.34	14.67	16.92	19.29	20.01	20.96
0.94	5.24	8.74	8.94	10.69	11.69	14.50	19.99	21.38	23.42
0.30	2.89	8.21	10.73	11.58	14.47	16.89	17.63	20.83	22.98
2.23	6.11	6.70	10.67	12.49	14.39	14.94	18.65	20.63	22.80
2.17	2.92	5.17	10.95	12.70	13.46	15.06	18.08	19.95	22.44
1.35	5.78	5.92	11.04	9.56	14.77	17.00	17.13	19.54	24.41
1.13	3.39	8.21	7.18	11.11	11.88	17.21	17.90	19.07	21.59
0.46	2.79	6.75	8.01	12.04	12.07	14.88	18.17	21.73	21.51
3.50	4.30	8.14	8.01	9.84	11.69	15.71	19.28	19.55	22.49
0.34	3.59	6.30	9.34	10.53	13.76	16.51	17.69	18.91	24.32
1.47	5.26	5.78	8.83	10.78	13.66	15.30	17.56	22.01	22.88
0.85	6.18	8.46	7.13	9.39	15.46	17.46	17.01	21.11	22.85
4.01	2.89	7.26	10.85	13.07	12.35	14.37	17.15	21.79	21.84
1.18	3.30	6.29	10.41	10.54	13.16	15.07	19.63	18.81	22.55
2.43	5.10	8.43	9.97	11.91	12.25	15.55	16.67	18.90	23.45
2.82	5.92	6.46	7.40	9.89	12.49	16.33	18.99	19.93	22.29
